query_sequence_id,target_sequence_id,sequence_identity,alignment_length,query_coverage,target_coverage,e_value,bit_score,query_assay_id,query_uniprot_id,query_sequence_sha256,query_sequence_length,target_assay_id,target_uniprot_id,target_sequence_sha256,target_sequence_length,qualifies_family_edge,query_family_id,target_family_id
assay065,assay065,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Flynn_2019,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Flynn_2019,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay065,assay066,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Flynn_2019,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Mishra_2016,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay097,assay097,1.0,42,1.0,1.0,1.204e-25,90,OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,873d9a9b99d438d0bd818814585ef4280d3ed3ff85ca668ab235e5a7478f2530,42,OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,873d9a9b99d438d0bd818814585ef4280d3ed3ff85ca668ab235e5a7478f2530,42,True,sf_24059a2f71bf,sf_24059a2f71bf
assay129,assay129,1.0,571,1.0,1.0,0.0,1067,Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,eca431067b47bc8f85e855f2bc691d6baad6c1d573ff1a853aaca012b3980749,571,Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,eca431067b47bc8f85e855f2bc691d6baad6c1d573ff1a853aaca012b3980749,571,True,sf_cdfaa4cd70ca,sf_cdfaa4cd70ca
assay129,assay128,0.306,570,0.975,0.968,4.505e-73,252,Q837P5_ENTFA_Meier_2023,Q837P5_ENTFA,eca431067b47bc8f85e855f2bc691d6baad6c1d573ff1a853aaca012b3980749,571,Q837P4_ENTFA_Meier_2023,Q837P4_ENTFA,c23775c3d95b996ce4de9b39ee66717443611f2a27e8817a7df36b76a43ae0bd,589,True,sf_cdfaa4cd70ca,sf_cdfaa4cd70ca
assay161,assay161,1.0,448,1.0,1.0,3.308e-275,833,SPG1_STRSG_Olson_2014,SPG1_STRSG,296c9ffb8add18b7266735007286ea2d58f4fa839c762d10a45b3ea72405d9f2,448,SPG1_STRSG_Olson_2014,SPG1_STRSG,296c9ffb8add18b7266735007286ea2d58f4fa839c762d10a45b3ea72405d9f2,448,True,sf_db4b6fc031cf,sf_db4b6fc031cf
assay193,assay193,1.0,52,1.0,1.0,4.242e-33,112,YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,506d3ce81c0c4ce4b8f8ec79f98e48ccfd58c2b880cbe05c6e27f9ad36e71cd6,52,YAIA_ECOLI_Tsuboyama_2023_2KVT,YAIA_ECOLI,506d3ce81c0c4ce4b8f8ec79f98e48ccfd58c2b880cbe05c6e27f9ad36e71cd6,52,True,sf_ac44f5c3e836,sf_ac44f5c3e836
assay002,assay002,1.0,161,1.0,1.0,2.651e-99,309,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,1ee1a17e8cd3d6efc8c92229e6a027c48fb9e79636117d0b3c0f8db703c723af,161,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,1ee1a17e8cd3d6efc8c92229e6a027c48fb9e79636117d0b3c0f8db703c723af,161,True,sf_977f4be4ca9f,sf_977f4be4ca9f
assay034,assay034,1.0,50,1.0,1.0,8.535999999999999e-33,111,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,98af4350fbb819c7ff347e0a3d2cef6e324feb76ec19f8a98231519888ff80f2,50,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,98af4350fbb819c7ff347e0a3d2cef6e324feb76ec19f8a98231519888ff80f2,50,True,sf_2ed9fd8d158e,sf_2ed9fd8d158e
assay066,assay064,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Mishra_2016,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay066,assay065,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Mishra_2016,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Flynn_2019,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay066,assay066,1.0,709,1.0,1.0,0.0,1336,HSP82_YEAST_Mishra_2016,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,HSP82_YEAST_Mishra_2016,HSP82_YEAST,a23da6027d1547e2d928653e928dbae270c9d383a5a4ebcb71b94c034da8d627,709,True,sf_4ba74830b6b6,sf_4ba74830b6b6
assay098,assay098,1.0,364,1.0,1.0,1.609e-249,754,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,True,sf_08db490a0d52,sf_08db490a0d52
assay098,assay099,1.0,364,1.0,1.0,1.609e-249,754,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,True,sf_08db490a0d52,sf_08db490a0d52
assay130,assay130,1.0,238,1.0,1.0,8.001000000000001e-168,511,Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,207f45450004d2fdfc4505ce92027881936b4019df85320b9816a3ba46cc49c8,238,Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,207f45450004d2fdfc4505ce92027881936b4019df85320b9816a3ba46cc49c8,238,True,sf_d5ee7a876864,sf_d5ee7a876864
assay130,assay058,0.827,238,1.0,1.0,4.138e-141,434,Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,207f45450004d2fdfc4505ce92027881936b4019df85320b9816a3ba46cc49c8,238,GFP_AEQVI_Sarkisyan_2016,GFP_AEQVI,9be57dbaa8e6d8b324cd1a84684901808c38b3b84f940c08e00a0323f4215e9f,238,True,sf_d5ee7a876864,sf_d5ee7a876864
assay130,assay042,0.449,226,0.95,0.957,6.023e-67,220,Q8WTC7_9CNID_Somermeyer_2022,Q8WTC7_9CNID,207f45450004d2fdfc4505ce92027881936b4019df85320b9816a3ba46cc49c8,238,D7PM05_CLYGR_Somermeyer_2022,D7PM05_CLYGR,4d9e0f52986dfa520a66afcf32d1d335eaac5009dd8fe6bcf3d2579a218e47d9,235,True,sf_d5ee7a876864,sf_d5ee7a876864
assay162,assay162,1.0,56,1.0,1.0,4.21e-35,118,SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,d15b14deff888939d5f6c974ab66c92773aae3d07810cc067425f5ce1f60680e,56,SPG2_STRSG_Tsuboyama_2023_5UBS,SPG2_STRSG,d15b14deff888939d5f6c974ab66c92773aae3d07810cc067425f5ce1f60680e,56,True,sf_67e127763d3d,sf_67e127763d3d
assay194,assay194,1.0,39,1.0,1.0,1.015e-18,70,YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,6d17003a58eaf6bf74df7eb050a0a13a1a755cf9ee007267fbd31cacf7794afc,39,YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,6d17003a58eaf6bf74df7eb050a0a13a1a755cf9ee007267fbd31cacf7794afc,39,True,sf_ca121528f828,sf_ca121528f828
assay003,assay003,1.0,87,1.0,1.0,3.0829999999999996e-53,172,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,86740b51441fbb7aa34956797b166824f67ed01a306a214c4f2d6618e92a451e,87,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,86740b51441fbb7aa34956797b166824f67ed01a306a214c4f2d6618e92a451e,87,True,sf_c9df9de4e934,sf_c9df9de4e934
assay035,assay035,1.0,101,1.0,1.0,1.833e-65,208,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,6e91f0a6f45fbc1a48f83962b1b5d9ed4c905a8cd214d0856b2468a0abde6a8e,101,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI,6e91f0a6f45fbc1a48f83962b1b5d9ed4c905a8cd214d0856b2468a0abde6a8e,101,True,sf_e2b2659337b1,sf_e2b2659337b1
assay067,assay067,1.0,465,1.0,1.0,2.965e-311,938,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,True,sf_b10f2912eeeb,sf_b10f2912eeeb
assay067,assay068,1.0,465,1.0,1.0,2.965e-311,938,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,True,sf_b10f2912eeeb,sf_b10f2912eeeb
assay099,assay098,1.0,364,1.0,1.0,1.609e-249,754,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,True,sf_08db490a0d52,sf_08db490a0d52
assay099,assay099,1.0,364,1.0,1.0,1.609e-249,754,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,a0cf235fd832b8038bb819a871c9d7c97d6754b3d18a5563583860d2f23e5d71,364,True,sf_08db490a0d52,sf_08db490a0d52
assay131,assay131,1.0,306,1.0,1.0,1.009e-216,656,R1AB_SARS2_Flynn_2022,R1AB_SARS2,50ec190141bd451b4b7efdf7378d3a516e559004b5335ab9bb341a596691c92e,306,R1AB_SARS2_Flynn_2022,R1AB_SARS2,50ec190141bd451b4b7efdf7378d3a516e559004b5335ab9bb341a596691c92e,306,True,sf_9fc1ecf8307b,sf_9fc1ecf8307b
assay163,assay163,1.0,1273,1.0,1.0,0.0,2620,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,True,sf_761ae81d509c,sf_761ae81d509c
assay163,assay164,1.0,1273,1.0,1.0,0.0,2620,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,True,sf_761ae81d509c,sf_761ae81d509c
assay004,assay004,1.0,565,1.0,1.0,0.0,1177,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,True,sf_97ae43962602,sf_97ae43962602
assay004,assay005,1.0,565,1.0,1.0,0.0,1177,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,True,sf_97ae43962602,sf_97ae43962602
assay004,assay023,0.424,547,0.968,0.952,3.87e-145,463,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,3b98d980444bef3941477dad6f361a3b513d7ba1f3e882d09ed58ae03e1a7289,566,True,sf_97ae43962602,sf_97ae43962602
assay036,assay036,1.0,352,1.0,1.0,8.943e-233,705,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85,352,CCR5_HUMAN_Gill_2023,CCR5_HUMAN,7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85,352,True,sf_2fd7d813c6f4,sf_2fd7d813c6f4
assay068,assay067,1.0,465,1.0,1.0,2.965e-311,938,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,True,sf_b10f2912eeeb,sf_b10f2912eeeb
assay068,assay068,1.0,465,1.0,1.0,2.965e-311,938,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,48ae6d5533dd7faf386b768e3da89f009ee6678a330e57c47be85385d5aca664,465,True,sf_b10f2912eeeb,sf_b10f2912eeeb
assay177,assay177,1.0,41,1.0,1.0,3.194e-23,83,THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,6b772d193945b6f46cb6fed83b7e9d68765a645d1f8e25672ad43417d4eed0df,41,THO1_YEAST_Tsuboyama_2023_2WQG,THO1_YEAST,6b772d193945b6f46cb6fed83b7e9d68765a645d1f8e25672ad43417d4eed0df,41,True,sf_a523304d9a92,sf_a523304d9a92
assay018,assay018,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
assay018,assay019,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
assay018,assay020,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
assay018,assay021,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
assay050,assay050,1.0,60,1.0,1.0,9.327e-37,123,ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,8b63e161229a988015d53cc39023e3b4664f32cf7710b6820d8ea83eddfc71fb,60,ENVZ_ECOLI_Ghose_2023,ENVZ_ECOLI,8b63e161229a988015d53cc39023e3b4664f32cf7710b6820d8ea83eddfc71fb,60,True,sf_2ee5fd080c0f,sf_2ee5fd080c0f
assay082,assay082,1.0,360,1.0,1.0,7.922000000000001e-247,746,MK01_HUMAN_Brenan_2016,MK01_HUMAN,1670aefbe2d9baf3412d23252180a37554c5647a0ad5cb1fbd06bb18417aee49,360,MK01_HUMAN_Brenan_2016,MK01_HUMAN,1670aefbe2d9baf3412d23252180a37554c5647a0ad5cb1fbd06bb18417aee49,360,True,sf_29a8f9564eb0,sf_29a8f9564eb0
assay082,assay081,0.267,239,0.644,0.833,1.483e-15,72,MK01_HUMAN_Brenan_2016,MK01_HUMAN,1670aefbe2d9baf3412d23252180a37554c5647a0ad5cb1fbd06bb18417aee49,360,MET_HUMAN_Estevam_2023,MET_HUMAN,81df7bdf1ca228f0a9664346b33823ab74dd126175c1825f28d1ed936fa77f69,287,False,sf_29a8f9564eb0,sf_9e206bd97a80
assay114,assay114,1.0,106,1.0,1.0,1.4330000000000001e-78,246,POLG_HCVJF_Qi_2014,POLG_HCVJF,bf2c7e2dbe29c1f6ca3bbc562756e8a485738720b1920651b85cb2db685163b5,106,POLG_HCVJF_Qi_2014,POLG_HCVJF,bf2c7e2dbe29c1f6ca3bbc562756e8a485738720b1920651b85cb2db685163b5,106,True,sf_55f4d290e887,sf_55f4d290e887
assay146,assay144,1.0,128,1.0,1.0,2.831e-82,258,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,e0994d34ed825eedcb77af161b75cacde1582939e7dd37d285a401fb9871cfa9,128,RL40A_YEAST_Mavor_2016,RL40A_YEAST,e0994d34ed825eedcb77af161b75cacde1582939e7dd37d285a401fb9871cfa9,128,True,sf_09950e3c22ee,sf_09950e3c22ee
assay146,assay145,1.0,128,1.0,1.0,2.831e-82,258,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,e0994d34ed825eedcb77af161b75cacde1582939e7dd37d285a401fb9871cfa9,128,RL40A_YEAST_Roscoe_2013,RL40A_YEAST,e0994d34ed825eedcb77af161b75cacde1582939e7dd37d285a401fb9871cfa9,128,True,sf_09950e3c22ee,sf_09950e3c22ee
assay146,assay146,1.0,128,1.0,1.0,2.831e-82,258,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,e0994d34ed825eedcb77af161b75cacde1582939e7dd37d285a401fb9871cfa9,128,RL40A_YEAST_Roscoe_2014,RL40A_YEAST,e0994d34ed825eedcb77af161b75cacde1582939e7dd37d285a401fb9871cfa9,128,True,sf_09950e3c22ee,sf_09950e3c22ee
assay178,assay178,1.0,59,1.0,1.0,4.415e-36,121,TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,fcbf51690593f159b448e4d47147a543231a8a73fae790171cb93b1b5c7d3b3c,59,TNKS2_HUMAN_Tsuboyama_2023_5JRT,TNKS2_HUMAN,fcbf51690593f159b448e4d47147a543231a8a73fae790171cb93b1b5c7d3b3c,59,True,sf_1ecb2ce4d2e3,sf_1ecb2ce4d2e3
assay019,assay018,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Deng_2012,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
assay019,assay019,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
